"MEASURE - US dollars at current prices in millions"

,YEAR,"2016","2017","2018","2019","2020"
"          Austria","    Household consumption expenditure (including NPISH)",206731.5132142325,219100.2068877533,236291.7909045567,229427.7368043134,217170.063695845
"          Austria","    General government final consumption expenditure",77733.5944448596,81321.127498106,87992.48357232149,86633.5127433724,91848.8206101637
"          Azerbaijan","  Final consumption expenditure",27090.2522967973,28168.4715037016,30437.9957059244,33062.0588235294,32589.7058823529
"          Azerbaijan","    Household consumption expenditure (including NPISH)",22231.1339313924,23533.6182123669,25506.985225635,27703.4117647059,25802
"          Azerbaijan","    General government final consumption expenditure",4859.1183654049,4634.8532913348,4931.0104802894,5358.6470588235,6787.7058823529
"          Bahamas","  Final consumption expenditure",9034.488083,9844.634700000001,10014.359576,9842.578093,7999.906458
"          Bahamas","    Household consumption expenditure (including NPISH)",7652.057845,8266.935814,8435.348038,8043.672251,6421.800059
"          Bahamas","    General government final consumption expenditure",1382.430238,1577.698886,1579.011539,1798.905842,1578.1064
"          Bahrain","  Final consumption expenditure",20063.2937047872,20832.0725292553,21616.545143617,21444.2232207447,20374.8177712766
"          Bahrain","    Household consumption expenditure (including NPISH)",14547.5335106383,14934.0372340426,15458.0930851064,15379.5425531915,14596.3157952128
"          Bahrain","    General government final consumption expenditure",5515.7601941489,5898.0352952128,6158.4520585106,6064.6806675532,5778.5019760638
"          Bangladesh","  Final consumption expenditure",165285.9150151391,183416.3463266789,208058.6944322472,225717.7727548309,246098.4978546461
"          Bangladesh","    Household consumption expenditure (including NPISH)",152303.8292157364,168688.5590838854,190919.2898930507,206838.5957495142,225536.9757005869
"          Bangladesh","    General government final consumption expenditure",12982.0857994027,14727.7872427934,17139.4045391964,18879.1770053167,20561.5221540592
"          Barbados","  Final consumption expenditure",4414.07,4411.22,4388.765,4412.53,3950.6375615
"          Barbados","    Household consumption expenditure (including NPISH)",3765.49,3806.115,3787.705,3833,3416.688265
"          Barbados","    General government final consumption expenditure",648.58,605.105,601.06,579.53,533.949297
"          Belarus","  Final consumption expenditure",33484.223711792,38367.3499769278,41597.1585968845,45606.7033711268,41199.3904676019
"          Belarus","    Household consumption expenditure (including NPISH)",26013.9725837594,29801.2416713745,32148.560117458,34758.123291928,31010.1788221309
"          Belarus","    General government final consumption expenditure",7470.2511280326,8566.1083055533,9448.598479426501,10848.5800791988,10189.211645471
"          Belgium","  Final consumption expenditure",354680.9079498587,374582.8476014124,406763.6018251762,398147.378469019,388435.9967785224
"          Belgium","    Household consumption expenditure (including NPISH)",244014.1905770205,258783.7489261181,281314.4652076861,275165.0433505878,259233.9710832692
"          Belgium","    General government final consumption expenditure",110666.7173728382,115799.0986752943,125449.1366174901,122982.3351184312,129202.0256952533
"          Belize","  Final consumption expenditure",1645.7007015,1641.102719,1687.013774,1670.4461865,1431.1493115
"          Belize","    Household consumption expenditure (including NPISH)",1344.0502045,1331.188222,1345.7663945,1322.003993,1185.83037
"          Belize","    General government final consumption expenditure",301.650497,309.914497,341.2473795,348.4421935,245.3189415
"          Benin","  Final consumption expenditure",9870.745148741,10555.709206588,11532.6145829332,11339.2783414702,11785.5757037712
"          Benin","    Household consumption expenditure (including NPISH)",8655.4427930193,9224.7046864105,10047.8258204928,9850.8810420879,10268.7698215661
"          Benin","    General government final consumption expenditure",1215.3023557217,1331.0045201792,1484.7887624404,1488.397299384,1516.8058822051
"          Bermuda","  Final consumption expenditure",4205.443,4343.386,4368.343,4471.912,4548.305536
"          Bermuda","    Household consumption expenditure (including NPISH)",3368.443,3512.954,3523.674,3574.216,3639.681157
"          Bermuda","    General government final consumption expenditure",837,830.432,844.669,897.696,908.624379
"          Bhutan","  Final consumption expenditure",1412.8359863111,1597.8443970275,1678.3019199873,1778.2405024516,1770.0639660556
"          Bhutan","    Household consumption expenditure (including NPISH)",1039.8719716753,1186.0784417068,1259.4740436592,1315.2666240059,1317.1574049861
"          Bhutan","    General government final consumption expenditure",372.9640146358,411.7659553361,418.8278763281,462.9738784457,452.9065610696
"          Bolivia (Plurinational State of)","  Final consumption expenditure",29314.0955137482,31760.8538350217,34057.5748885673,35410.3485998553,32584.1598040521
"          Bolivia (Plurinational State of)","    Household consumption expenditure (including NPISH)",23388.5672937771,25376.2662807525,26996.9048664255,27990.6725512301,25873.2297777135
"          Bolivia (Plurinational State of)","    General government final consumption expenditure",5925.5282199711,6384.5875542692,7060.6700222865,7419.6760486252,6710.9300263386
"          Bosnia and Herzegovina","  Final consumption expenditure",16757.0700899745,17488.4189956358,19037.1668084088,18779.284052975,19049.8164275903
"          Bosnia and Herzegovina","    Household consumption expenditure (including NPISH)",13211.5912159449,13822.0526314252,15046.9458711208,14851.5023399535,14921.3520824843
"          Bosnia and Herzegovina","    General government final consumption expenditure",3545.4788740296,3666.3663642106,3990.220937288,3927.7817135938,4128.464345106
"          Botswana","  Final consumption expenditure",10251.7865990858,11785.8023216386,12624.1957561661,12880.761275087,11983.2616980699
"          Botswana","    Household consumption expenditure (including NPISH)",7405.033083774,8578.230077886299,9226.805076287001,9330.0935804646,8227.627487752299
"          Botswana","    General government final consumption expenditure",2846.7535153117,3207.5722437522,3397.3906798791,3550.6676946225,3755.6342103177
"          Brazil","  Final consumption expenditure",1519709.163667677,1746894.289715306,1620022.966187616,1600136.22605854,1202129.597330595
"          Brazil","    Household consumption expenditure (including NPISH)",1153759.492089791,1330850.424702478,1238647.322266823,1221466.874414211,906061.6891336853
"          Brazil","    General government final consumption expenditure",365949.6715778864,416043.8650128277,381375.6439207937,378669.3516443282,296067.9081969099
"          British Virgin Islands","  Final consumption expenditure",605.282025,564.443307,596.53747,621.1182260000001,644.249149
"          British Virgin Islands","    Household consumption expenditure (including NPISH)",487.918031,454.912956,480.833292,500.640003,519.2691630000001
"          British Virgin Islands","    General government final consumption expenditure",117.363994,109.530351,115.704178,120.478223,124.979986
"          Brunei Darussalam","  Final consumption expenditure",5400.7112882716,5694.51850059,5925.2494560186,6127.3958137065,5905.6891702365
"          Brunei Darussalam","    Household consumption expenditure (including NPISH)",2411.1988890988,2483.3138731481,2649.962202776,2754.644720244,2852.4968933475
"          Brunei Darussalam","    General government final consumption expenditure",2989.5123991728,3211.2046274419,3275.2872532426,3372.7510934625,3053.1922761642
"          Bulgaria","  Final consumption expenditure",41078.7830226474,44922.4844541548,50597.9431215267,52218.6171861956,54646.2614099826
"          Bulgaria","    Household consumption expenditure (including NPISH)",32671.458534631,35701.1164197739,39705.0969347984,40707.7297335972,41025.7719945621
"          Bulgaria","    General government final consumption expenditure",8407.3244880164,9221.368034380899,10892.8461867283,11510.8874525984,13620.4894154205
"          Burkina Faso","  Final consumption expenditure",10942.4562224413,11892.4700434489,13059.6349290057,13277.8776321842,14477.2637412582
"          Burkina Faso","    Household consumption expenditure (including NPISH)",8824.0405880121,9389.991598082701,10330.5156827683,10236.6497025592,11348.0330351635
"          Burkina Faso","    General government final consumption expenditure",2118.4156344291,2502.4784453662,2729.1192462374,3041.227929625,3129.2307060929
"          Burundi","  Final consumption expenditure",3047.0051653142,3425.022338792,3428.3416234225,3621.7815858773,3662.7714630258
"          Burundi","    Household consumption expenditure (including NPISH)",2513.4340475596,2825.4462697832,2803.7886800231,2937.2620091165,2995.6584622586
"          Burundi","    General government final consumption expenditure",533.5711177547,599.5760690088,624.5529433994,684.5195767608,666.5811744516
"          Cabo Verde","  Final consumption expenditure",1338.3225318085,1473.2441496187,1561.5416009897,1569.4202175394,1434.4042026367
"          Cabo Verde","    Household consumption expenditure (including NPISH)",1050.7782504424,1154.7958533152,1211.5306594004,1220.3514567541,1082.6113075201
"          Cabo Verde","    General government final consumption expenditure",287.544281356,318.4482963035,350.0109415893,349.0687607853,351.7928951166
"          Cambodia","  Final consumption expenditure",16279.5619912528,17412.4234869065,18578.0181178379,20127.0184087004,19375.9593771753
"          Cambodia","    Household consumption expenditure (including NPISH)",15236.6921921668,16276.1749870979,17367.5464134716,18824.4739618468,17982.6275475748
"          Cambodia","    General government final consumption expenditure",1042.869799086,1136.2484998088,1210.4717043662,1302.5444468533,1393.3318296006
"          Cameroon","  Final consumption expenditure",26806.2427965868,28389.8051847337,31570.0041558785,31925.2234199627,30291.7960111667
"          Cameroon","    Household consumption expenditure (including NPISH)",22848.2782745149,24490.1105689263,27272.349604468,27688.6961245868,26190.3371411984
"          Cameroon","    General government final consumption expenditure",3957.9645220718,3899.6946158074,4297.6545514105,4236.5272953759,4101.45886997
"          Canada","  Final consumption expenditure",1215447.745624133,1297834.327381754,1354556.146365925,1368825.797868764,1315466.938655527
"          Canada","    Household consumption expenditure (including NPISH)",893782.4996700805,956328.9492832001,997720.962625428,1005918.502810227,943653.1919229205
"          Canada","    General government final consumption expenditure",321665.2459540526,341505.378098554,356835.1837404968,362907.2950585369,371813.746732606
"          Cayman Islands","  Final consumption expenditure",3175.4542682927,3278.5482926829,3401.6107664431,3739.3141972568,3900.4988851955
"          Cayman Islands","    Household consumption expenditure (including NPISH)",2694.413902439,2776.5184146341,2880.7203628815,3154.4250177001,3298.903254413
"          Cayman Islands","    General government final consumption expenditure",481.0403658537,502.0298780488,520.8904035616,584.8891795567,601.5956307825001
"          Central African Republic","  Final consumption expenditure",1796.2462098622,2010.6508721868,2269.7255170833,2300.8086000903,2343.7673637413
"          Central African Republic","    Household consumption expenditure (including NPISH)",1533.2956133117,1719.132690197,1954.285572601,1970.7552635276,2009.8468249222
"          Central African Republic","    General government final consumption expenditure",262.9505965505,291.5181819899,315.4399444823,330.0533365627,333.9205388191
"          Chad","  Final consumption expenditure",8720.102997084199,9002.557885894401,9360.184728103001,8913.0038141447,9575.733519940401
"          Chad","    Household consumption expenditure (including NPISH)",7728.3084796842,7993.7226309598,8368.300352653499,7927.326669267,8526.8138035307
"          Chad","    General government final consumption expenditure",991.7945174001,1008.8352549347,991.8843754496,985.6771448777,1048.9197164079
"          Chile","  Final consumption expenditure",193286.8257296603,214765.4703491433,232463.0357603209,217466.8311001446,189524.8810033651
"          Chile","    Household consumption expenditure (including NPISH)",158776.6308591804,175674.7979098114,189643.7928105668,176594.1694670652,149393.1278326272
"          Chile","    General government final consumption expenditure",34510.1948704799,39090.6724393319,42819.2429497541,40872.6616330794,40131.7531707379
"          China","  Final consumption expenditure",6182667.931848642,6754483.54273015,7650215.780302177,7999438.352172541,8071372.95228916
"          China","    Household consumption expenditure (including NPISH)",4344479.843407555,4744808.709644356,5352573.943678521,5604609.462899329,5657377.390165457
"          China","    General government final consumption expenditure",1838188.088441087,2009674.833085794,2297641.836623656,2394828.889273212,2413995.562123559
"          China, Hong Kong SAR","  Final consumption expenditure",244505.6523559535,262482.9179097296,282903.2340371244,290486.881985728,273654.4522865706
"          China, Hong Kong SAR","    Household consumption expenditure (including NPISH)",212559.6315501304,228935.0399384083,247000.9568157173,251064.5638140612,229584.0665184182
"          China, Hong Kong SAR","    General government final consumption expenditure",31946.0208058231,33547.8779713213,35902.2772214072,39422.3181716668,44070.3857681524
"          China, Macao SAR","  Final consumption expenditure",16700.6787969215,17306.8754912939,18438.6327961359,19362.9359313259,18143.807309542
"          China, Macao SAR","    Household consumption expenditure (including NPISH)",12013.7871312291,12404.3094437691,13229.8422890888,13795.2306868856,11713.2650836989
"          China, Macao SAR","    General government final consumption expenditure",4686.8916656924,4902.5660475248,5208.790507047,5567.7052444403,6430.5422258431
"          China, Taiwan Province of","  Final consumption expenditure",357747.8035802677,388018.7348244907,405596.3332154536,405515.2455782973,418702.3400065916
"          China, Taiwan Province of","    Household consumption expenditure (including NPISH)",280958.4330143544,306338.2287323879,318621.762001591,319628.9649820545,324951.3829616422
"          China, Taiwan Province of","    General government final consumption expenditure",76789.3705659133,81680.50609210281,86974.5712138625,85886.2805962428,93750.95704494941
"          Colombia","  Final consumption expenditure",236444.410952633,260089.0702229156,279188.6496014771,272675.0716169596,237306.5411467704
"          Colombia","    Household consumption expenditure (including NPISH)",195318.0206382776,213678.7668824434,227650.335363224,221710.2496462073,189214.9767651293
"          Colombia","    General government final consumption expenditure",41126.3903143554,46410.3033404722,51538.3142382531,50964.8219707523,48091.5643816411
"          Comoros","  Final consumption expenditure",1044.8035109584,1108.9902375607,1216.2588426882,1239.585273963,1354.8010648789
"          Comoros","    Household consumption expenditure (including NPISH)",937.3649109501,992.3705650122,1094.6485614834,1122.4787437635,1231.7331605955
"          Comoros","    General government final consumption expenditure",107.4386000083,116.6196725485,121.6102812048,117.1065301995,123.0679042834
"          Congo","  Final consumption expenditure",6823.3086174352,6636.8728215686,7216.4453286085,6964.8806562811,6097.6331109494
"          Congo","    Household consumption expenditure (including NPISH)",4494.003992380001,4496.4206510183,5221.3619443419,4781.7451982602,4243.0955643321
"          Congo","    General government final consumption expenditure",2329.3046250552,2140.4521705503,1995.0833842665,2183.1354580209,1854.5375466191
"          Congo, Dem. Rep. of the","  Final consumption expenditure",36223.300134863,31256.0021365079,39038.2141994517,36823.9338940032,38786.372326602
"          Congo, Dem. Rep. of the","    Household consumption expenditure (including NPISH)",32037.3271975507,29181.3553199376,36082.1275879465,33525.2073924799,35095.7515358588
"          Congo, Dem. Rep. of the","    General government final consumption expenditure",4185.9729373123,2074.6468165703,2956.0866115052,3298.7265015233,3690.6207907432
"          Cook Islands","  Final consumption expenditure",205.3347104993,229.2054717596,240.0719089436,216.1126107222,182.3904095716
"          Cook Islands","    Household consumption expenditure (including NPISH)",105.1697582708,117.4778442646,122.8760948158,110.6857560735,93.4169102985
"          Cook Islands","    General government final consumption expenditure",100.1649515323,111.727627495,117.1958141278,105.42685399,88.97349927320001
"          Costa Rica","  Final consumption expenditure",47530.3520342483,49309.5099233286,50560.2710715602,51949.5289227652,50694.3535749131
"          Costa Rica","    Household consumption expenditure (including NPISH)",37697.7923841264,39410.1896539206,40458.8867853651,41164.0762885624,39740.576842513
"          Costa Rica","    General government final consumption expenditure",9832.559650121901,9899.320269407999,10101.3842861933,10785.4526342028,10953.7767324001
"          Côte d'Ivoire","  Final consumption expenditure",36731.0053207733,40536.8576473225,46162.8652272669,46123.0449540651,47774.4844859742
"          Côte d'Ivoire","    Household consumption expenditure (including NPISH)",31958.8601906614,35098.1884124579,40000.2550454122,39982.1806947132,41391.7434909121
"          Côte d'Ivoire","    General government final consumption expenditure",4772.145130112,5438.6692348647,6162.6101818546,6140.8642593519,6382.7037538699
"          Croatia","  Final consumption expenditure",40863.0475786024,43670.5133328432,48337.7256684865,48253.9102350654,47392.8590408714
"          Croatia","    Household consumption expenditure (including NPISH)",30047.001977988,32116.7765300775,35513.3784499433,35432.7972244105,33692.4599438272
"          Croatia","    General government final consumption expenditure",10816.0456006144,11553.7368027657,12824.3472185432,12821.1130106549,13700.3990970442
"          Cuba","  Final consumption expenditure",80172,84088,86047,89877,96049
"          Cuba","    Household consumption expenditure (including NPISH)",51029,54221,55987,56540,54345
"          Cuba","    General government final consumption expenditure",29143,29867,30060,33337,41704
"          Curaçao","  Final consumption expenditure",2564.3153418994,2740.6765273743,2741.4044391061,2541.6005273743,2264.299796648
"          Curaçao","    Household consumption expenditure (including NPISH)",2071.7848117318,2216.1836860335,2216.5797994413,2054.5593843575,1830.7285178771
"          Curaçao","    General government final consumption expenditure",492.5305301676,524.4928407821,524.8246391061,487.0411435754,433.5712787709
"          Cyprus","  Final consumption expenditure",16932.0854098941,18244.4639681177,20254.786988549,20471.8303607843,20592.5394286382
"          Cyprus","    Household consumption expenditure (including NPISH)",13739.6209682264,14854.4037256471,16534.1898054118,16312.8706094117,15676.7558149417
"          Cyprus","    General government final consumption expenditure",3192.4644416677,3390.0602424706,3720.5971831373,4158.9597513725,4915.7836136965
"          Czechia","  Final consumption expenditure",130222.8662809132,144528.4832237735,166442.6079253254,167653.0213999935,164933.4668950141
"          Czechia","    Household consumption expenditure (including NPISH)",93005.390771245,103517.4749390411,118173.7159599475,118232.7072136402,111836.1930612553
"          Czechia","    General government final consumption expenditure",37217.4755096682,41011.0082847325,48268.8919653779,49420.3141863533,53097.2738337588
"          Czechoslovakia","  Final consumption expenditure","_","_","_","_","_"
"          Czechoslovakia","    Household consumption expenditure (including NPISH)","_","_","_","_","_"
"          Czechoslovakia","    General government final consumption expenditure","_","_","_","_","_"
"          Denmark","  Final consumption expenditure",224007.7286919658,235047.3064698575,254271.13294476,245530.3618919514,251478.4704874601
"          Denmark","    Household consumption expenditure (including NPISH)",146140.4738591088,153969.6362351438,167646.6736575276,161917.3858549582,163663.6486870586
"          Denmark","    General government final consumption expenditure",77867.254832857,81077.6702347137,86624.4592872324,83612.9760369931,87814.82180040151
"          Djibouti","  Final consumption expenditure",2178.4416460106,2324.761433986,2372.314437801,2589.1388011197,2813.5067489309
"          Djibouti","    Household consumption expenditure (including NPISH)",1599.3565683547,1723.2459211738,1773.9266778697,1935.9671031792,2096.6917816734
"          Djibouti","    General government final consumption expenditure",579.0850776502,601.5155128123,598.3877599201001,653.1716979406,716.8149672631
"          Dominica","  Final consumption expenditure",560.7481481481,540.9481481481,638.662962963,644.8127914815,547.9073166667
"          Dominica","    Household consumption expenditure (including NPISH)",450.7925925926,415.3666666667,486.7074074074,500.9172503704,421.1883033333
"          Dominica","    General government final consumption expenditure",109.9555555556,125.5814814815,151.9555555556,143.8955407407,126.7190133333
"          Dominican Republic","  Final consumption expenditure",61147.6191355033,64309.5575196864,67723.4507026849,70147.254108893,64905.3934825586
"          Dominican Republic","    Household consumption expenditure (including NPISH)",53350.2948196794,55558.8564701279,58432.2576636087,60302.5139545988,54949.9820566291
"          Dominican Republic","    General government final consumption expenditure",7797.3243158239,8750.7010495585,9291.193039076201,9844.740154294201,9955.4114259295
"          Ecuador","  Final consumption expenditure",74486.28599999999,77675.205,80031.51,80080.014,74208.173
"          Ecuador","    Household consumption expenditure (including NPISH)",59889.692,62477.987,64202.3,64496.521,59721.968
"          Ecuador","    General government final consumption expenditure",14596.594,15197.218,15829.21,15583.493,14486.205
"          Egypt","  Final consumption expenditure",255431.1846490547,189112.5354635932,234261.9443474951,286477.8363095841,346299.8996748315
"          Egypt","    Household consumption expenditure (including NPISH)",224549.6262425617,169419.0536712859,213403.3895987608,262167.4096458139,316863.0756452287
"          Egypt","    General government final consumption expenditure",30881.558406493,19693.4817923073,20858.5547487342,24310.4266637702,29436.8240296028
"          El Salvador","  Final consumption expenditure",24175.56,24871.31,25863.000133,26828.394159,24752.036945
"          El Salvador","    Household consumption expenditure (including NPISH)",20228.38,20841.39,21671.130963,22462.397568,19976.343987
"          El Salvador","    General government final consumption expenditure",3947.18,4029.92,4191.86917,4365.996591,4775.692958
"          Equatorial Guinea","  Final consumption expenditure",8214.3838604741,8622.4262501963,9418.731402279,9268.686864601101,9802.853015500499
"          Equatorial Guinea","    Household consumption expenditure (including NPISH)",5367.3807995588,5731.4239477319,6337.2876841287,6395.4126606193,6868.8727123573
"          Equatorial Guinea","    General government final consumption expenditure",2847.0030609153,2891.0023024644,3081.4437181502,2873.2742039818,2933.9803031432
"          Eritrea","  Final consumption expenditure",2014.7683551792,1617.1811406965,1861.3728889552,1857.5540835158,1908.3005317413
"          Eritrea","    Household consumption expenditure (including NPISH)",1605.0759545928,1180.5830098839,1403.5039408955,1412.1720628192,1427.5822506799
"          Eritrea","    General government final consumption expenditure",409.6924005863,436.5981308126,457.8689480597,445.3820207629,480.7182811277
"          Estonia","  Final consumption expenditure",17125.8854012697,18707.2536775953,21146.414729178,21537.7167452784,21775.9973720234
"          Estonia","    Household consumption expenditure (including NPISH)",12380.873988134,13522.3977801518,15292.3193000831,15470.8052415608,15261.634918909
"          Estonia","    General government final consumption expenditure",4745.0114131356,5184.8558974435,5854.0954290949,6066.9115037176,6514.3624531144
"          Eswatini","  Final consumption expenditure",3340.4679563854,3993.4991347501,4134.9464982732,3795.9816122534,3225.1158819265
"          Eswatini","    Household consumption expenditure (including NPISH)",2405.3790058997,2886.3224706071,3061.2324420318,2869.6150583292,2385.5626700653
"          Eswatini","    General government final consumption expenditure",935.0889504857,1107.176664143,1073.7140562415,926.3665539243,839.5532118612
"          Ethiopia","  Final consumption expenditure",55995.2511488304,59623.2197132634,60891.4566681268,72082.90913100389,76406.5776319279
"          Ethiopia","    Household consumption expenditure (including NPISH)",47960.9026760968,51091.9606731747,52669.5024222028,63573.6579118843,67594.847913707
"          Ethiopia","    General government final consumption expenditure",8034.3484727336,8531.2590400886,8221.954245924,8509.2512191195,8811.7297182495
"          Ethiopia (...1991)","  Final consumption expenditure","_","_","_","_","_"
"          Ethiopia (...1991)","    Household consumption expenditure (including NPISH)","_","_","_","_","_"
"          Ethiopia (...1991)","    General government final consumption expenditure","_","_","_","_","_"
"          Fiji","  Final consumption expenditure",3960.7901809215,4288.7928379812,4512.3077498917,4475.5168349113,4516.045869096
"          Fiji","    Household consumption expenditure (including NPISH)",3026.949610941,3256.6067181593,3374.134422625,3387.3842680723,3408.0519208439
"          Fiji","    General government final consumption expenditure",933.8405699805001,1032.1861198219,1138.1733272667,1088.132566839,1107.9939482521
"          Finland","  Final consumption expenditure",187680.760132273,194157.1741188239,209535.5777199999,203329.0357411761,203731.2355610901
"          Finland","    Household consumption expenditure (including NPISH)",130726.1148888557,135901.7752105885,146363.9590815685,141044.8324392155,137872.2079190665
"          Finland","    General government final consumption expenditure",56954.6452434172,58255.3989082354,63171.6186384313,62284.2033019607,65859.0276420235
"          France","  Final consumption expenditure",1932541.010970465,2019566.494300405,2158867.679149633,2095771.565113657,2062456.839857658
"          France","    Household consumption expenditure (including NPISH)",1344510.98411935,1404448.255291098,1507693.267312352,1466883.281820108,1401333.098958316
"          France","    General government final consumption expenditure",588030.0268511141,615118.2390093075,651174.4118372808,628888.2832946687,661123.7408993422
"            France, metropolitan","  Final consumption expenditure",1927495.897145805,2014573.998174121,2153317.024541175,2090116.003003918,2057126.031512846
"            France, metropolitan","    Household consumption expenditure (including NPISH)",1341000.988256475,1400976.370362355,1503816.844193724,1462924.811513723,1397711.08950195
"            France, metropolitan","    General government final consumption expenditure",586494.9088893305,613597.6278117658,649500.1803474505,627191.1914901951,659414.9420108968
"            Monaco","  Final consumption expenditure",5045.1138246593,4992.4961262838,5550.6546084582,5655.5621097392,5330.8083448122
"            Monaco","    Household consumption expenditure (including NPISH)",3509.9958628756,3471.8849287422,3876.4231186279,3958.470306385,3622.0094563667
"            Monaco","    General government final consumption expenditure",1535.1179617837,1520.6111975417,1674.2314898303,1697.0918044737,1708.7988884455
"          French Polynesia","  Final consumption expenditure",5274.9698111313,5587.7477995616,5985.648983894,5806.4189021321,5526.1238418346
"          French Polynesia","    Household consumption expenditure (including NPISH)",3562.299097092,3764.5026251247,4034.0256177174,3922.5460381021,3726.8059098674
"          French Polynesia","    General government final consumption expenditure",1712.6707140393,1823.2451744369,1951.6233661766,1883.8728640299,1799.3179319576
"          Gabon","  Final consumption expenditure",7724.5302502123,7942.5581520812,8295.308990334001,8213.7046270515,8354.9633978436
"          Gabon","    Household consumption expenditure (including NPISH)",5671.2253724471,5967.2086864733,6513.1390169137,6358.6447706063,6557.6646590062
"          Gabon","    General government final consumption expenditure",2053.3048777653,1975.3494656079,1782.1699734204,1855.0598564451,1797.2987388374
"          Gambia","  Final consumption expenditure",1282.8173068491,1413.0057805933,1592.5571744029,1709.2330490577,1685.3905034101
"          Gambia","    Household consumption expenditure (including NPISH)",1158.8839127998,1294.6132230953,1478.5365008079,1560.3786925165,1522.4382069534
"          Gambia","    General government final consumption expenditure",123.9333940265,118.392557498,114.020673595,148.8543565213,162.9522964567
"          Georgia","  Final consumption expenditure",12881.597988782,13594.2592438858,14522.3679706196,14621.8421979707,14685.1223380383
