"MEASURE - US dollars at current prices in millions"

,YEAR,"2016","2017","2018"
"          Brazil","    General government final consumption expenditure",365949.6715778864,416043.8650128277,378694.8918237388
"          British Virgin Islands","  Final consumption expenditure",554.914837,521.491417,539.025849
"          British Virgin Islands","    Household consumption expenditure (including NPISH)",447.317025,420.295889,434.476602
"          British Virgin Islands","    General government final consumption expenditure",107.597812,101.195528,104.549247
"          Brunei Darussalam","  Final consumption expenditure",5400.7112889955,5694.5185013142,5925.2494560186
"          Brunei Darussalam","    Household consumption expenditure (including NPISH)",2411.1988890988,2483.3138731481,2649.962202776
"          Brunei Darussalam","    General government final consumption expenditure",2989.5123991728,3211.2046274419,3275.2872532426
"          Bulgaria","  Final consumption expenditure",40893.7195107581,44670.3896665147,50408.509140285
"          Bulgaria","    Household consumption expenditure (including NPISH)",32486.3950227417,35449.1368754652,39516.4474842213
"          Bulgaria","    General government final consumption expenditure",8407.3244880164,9221.252791049499,10892.0616560637
"          Burkina Faso","  Final consumption expenditure",10942.4562224413,11892.4700434489,13059.6367846481
"          Burkina Faso","    Household consumption expenditure (including NPISH)",8824.0405880121,9389.991598082701,10330.5168540405
"          Burkina Faso","    General government final consumption expenditure",2118.4156344291,2502.4784453662,2729.1199306076
"          Burundi","  Final consumption expenditure",3047.0057696802,3341.2927871005,3279.6321988763
"          Burundi","    Household consumption expenditure (including NPISH)",2513.4346519255,2765.5771505244,2703.7874082438
"          Burundi","    General government final consumption expenditure",533.5711177547,575.715636576,575.8447906326001
"          Cabo Verde","  Final consumption expenditure",1338.3225318085,1473.2441496187,1561.5416009897
"          Cabo Verde","    Household consumption expenditure (including NPISH)",1050.7782504424,1154.7958533152,1211.5306594004
"          Cabo Verde","    General government final consumption expenditure",287.544281356,318.4482963035,350.0109415893
"          Cambodia","  Final consumption expenditure",16279.5619912528,17412.4234869065,18564.7717229665
"          Cambodia","    Household consumption expenditure (including NPISH)",15236.6921921668,16276.1749870979,17354.3000186
"          Cambodia","    General government final consumption expenditure",1042.869799086,1136.2484998088,1210.4717043662
"          Cameroon","  Final consumption expenditure",26806.1921726992,28389.8051847337,31570.0041558785
"          Cameroon","    Household consumption expenditure (including NPISH)",22848.2479001824,24490.1105689263,27272.349604468
"          Cameroon","    General government final consumption expenditure",3957.9442725168,3899.6946158074,4297.6545514105
"          Canada","  Final consumption expenditure",1215447.745624133,1297834.327381754,1354556.146365925
"          Canada","    Household consumption expenditure (including NPISH)",893782.4996700805,956328.9492832001,997720.962625428
"          Canada","    General government final consumption expenditure",321665.2459540526,342248.9805071814,359475.3431872966
"          Cayman Islands","  Final consumption expenditure",3175.4542682927,3279.8215853659,3368.52999412
"          Cayman Islands","    Household consumption expenditure (including NPISH)",2694.413902439,2776.5219512195,2845.457741831
"          Cayman Islands","    General government final consumption expenditure",481.0403658537,503.2996341463,523.072252289
"          Central African Republic","  Final consumption expenditure",1796.2462098622,2010.6508721868,2269.7255170833
"          Central African Republic","    Household consumption expenditure (including NPISH)",1533.2956133117,1719.132690197,1954.285572601
"          Central African Republic","    General government final consumption expenditure",262.9505965505,291.5181819899,315.4399444823
"          Chad","  Final consumption expenditure",8720.102997084199,9002.557885894401,9360.247896515501
"          Chad","    Household consumption expenditure (including NPISH)",7728.3084796842,7993.7226309598,8368.356827207501
"          Chad","    General government final consumption expenditure",991.7945174001,1008.8352549347,991.8910693081
"          Chile","  Final consumption expenditure",193286.8257296603,214765.4703491433,232392.8421337437
"          Chile","    Household consumption expenditure (including NPISH)",158776.6308591804,175674.7979098114,189113.2041402795
"          Chile","    General government final consumption expenditure",34510.1948704799,39090.6724393319,43279.6379934642
"          China","  Final consumption expenditure",6182674.102386199,6754472.00214331,7650215.024553634
"          China","    Household consumption expenditure (including NPISH)",4344482.100921295,4744801.311832279,5352579.68736745
"          China","    General government final consumption expenditure",1838192.001464905,2009670.690311031,2297635.337186183
"          China, Hong Kong SAR","  Final consumption expenditure",244505.6523559535,262482.9179097296,282906.1682719908
"          China, Hong Kong SAR","    Household consumption expenditure (including NPISH)",212559.6315501304,228935.0399384083,247001.5946928622
"          China, Hong Kong SAR","    General government final consumption expenditure",31946.0208058231,33547.8779713213,35904.5735791287
"          China, Macao SAR","  Final consumption expenditure",16703.1803402956,17218.7867905823,18310.2959676232
"          China, Macao SAR","    Household consumption expenditure (including NPISH)",11979.140755498,12316.2207430575,13099.5234246146
"          China, Macao SAR","    General government final consumption expenditure",4724.0395847976,4902.5660475248,5210.7725430086
"          China, Taiwan Province of","  Final consumption expenditure",357747.8035802677,388018.7348244907,405541.8619043405
"          China, Taiwan Province of","    Household consumption expenditure (including NPISH)",280958.4330143544,306338.2287323879,318579.1928211472
"          China, Taiwan Province of","    General government final consumption expenditure",76789.3705659133,81680.50609210281,86962.66908319329
"          Colombia","  Final consumption expenditure",236444.410952633,260089.0702229156,278358.3905413934
"          Colombia","    Household consumption expenditure (including NPISH)",195318.0206382776,213678.7668824434,226974.6925991706
"          Colombia","    General government final consumption expenditure",41126.3903143554,46410.3033404722,51383.6979422228
"          Comoros","  Final consumption expenditure",1044.8035109584,1108.9902375607,1197.6743931691
"          Comoros","    Household consumption expenditure (including NPISH)",937.3649109501,992.3705650122,1076.0641119643
"          Comoros","    General government final consumption expenditure",107.4386000083,116.6196725485,121.6102812048
"          Congo","  Final consumption expenditure",6823.3086174352,6636.8728215686,7216.4453286085
"          Congo","    Household consumption expenditure (including NPISH)",4494.003992380001,4496.4206510183,5221.3619443419
"          Congo","    General government final consumption expenditure",2329.3046250552,2140.4521705503,1995.0833842665
"          Congo, Dem. Rep. of the","  Final consumption expenditure",36223.300134863,31256.0021365079,39038.1858485527
"          Congo, Dem. Rep. of the","    Household consumption expenditure (including NPISH)",32037.3271975507,29181.3553199376,36082.0980043997
"          Congo, Dem. Rep. of the","    General government final consumption expenditure",4185.9729373123,2074.6468165703,2956.087844153
"          Cook Islands","  Final consumption expenditure",205.3347104993,229.2054717596,240.0719089436
"          Cook Islands","    Household consumption expenditure (including NPISH)",105.1697582708,117.4778442646,122.8760948158
"          Cook Islands","    General government final consumption expenditure",100.1649515323,111.727627495,117.1958141278
"          Costa Rica","  Final consumption expenditure",46503.2295957653,47350.1408363424,48508.7966729647
"          Costa Rica","    Household consumption expenditure (including NPISH)",36668.6185025878,37308.5954815748,38274.1796255745
"          Costa Rica","    General government final consumption expenditure",9834.6110931775,10041.5453547676,10234.6170473903
"          Côte d'Ivoire","  Final consumption expenditure",36731.0053207733,40536.8576473225,46162.8652272669
"          Côte d'Ivoire","    Household consumption expenditure (including NPISH)",31958.8601906614,35098.1884124579,40000.2550454122
"          Côte d'Ivoire","    General government final consumption expenditure",4772.145130112,5438.6692348647,6162.6101818546
"          Croatia","  Final consumption expenditure",40168.5453318683,42933.6451905249,47349.8530508378
"          Croatia","    Household consumption expenditure (including NPISH)",30063.1990661853,32132.4546636229,35488.0474458993
"          Croatia","    General government final consumption expenditure",10105.3462658299,10801.1905267511,11861.8056049384
"          Cuba","  Final consumption expenditure",80172,84088,86047
"          Cuba","    Household consumption expenditure (including NPISH)",51029,54221,55987
"          Cuba","    General government final consumption expenditure",29143,29867,30060
"          Curaçao","  Final consumption expenditure",2564.3153418994,2740.6764564246,2819.0560184358
"          Curaçao","    Household consumption expenditure (including NPISH)",2071.7848117318,2216.1836290503,2279.3654731844
"          Curaçao","    General government final consumption expenditure",492.5305301676,524.4928273743,539.6905458101001
"          Cyprus","  Final consumption expenditure",16962.1727363254,18214.0755444706,19990.1350829019
"          Cyprus","    Household consumption expenditure (including NPISH)",13768.8233732921,14822.8856208236,16270.3645679216
"          Cyprus","    General government final consumption expenditure",3193.3493630333,3391.1899236471,3719.7705149804
"          Czechia","  Final consumption expenditure",130222.8662809132,144528.4832237735,166413.9837934642
"          Czechia","    Household consumption expenditure (including NPISH)",93005.390771245,103517.4749390411,118141.8244432597
"          Czechia","    General government final consumption expenditure",37217.4755096682,41011.0082847325,48272.1593502045
"          Czechoslovakia","  Final consumption expenditure","_","_","_"
"          Czechoslovakia","    Household consumption expenditure (including NPISH)","_","_","_"
"          Czechoslovakia","    General government final consumption expenditure","_","_","_"
"          Denmark","  Final consumption expenditure",224007.7410216559,235047.3064698575,253294.8653016496
"          Denmark","    Household consumption expenditure (including NPISH)",146140.5487285523,153969.6362351438,166717.8543260449
"          Denmark","    General government final consumption expenditure",77867.1922931036,81077.6702347137,86577.0109756047
"          Djibouti","  Final consumption expenditure",2178.4416460106,2324.761433986,2372.314437801
"          Djibouti","    Household consumption expenditure (including NPISH)",1599.3565683547,1723.2459211738,1773.9266778697
"          Djibouti","    General government final consumption expenditure",579.0850776502,601.5155128123,598.3877599201001
"          Dominica","  Final consumption expenditure",560.7481481481,540.9481481481,638.662962963
"          Dominica","    Household consumption expenditure (including NPISH)",450.7925925926,415.3666666667,486.7074074074
"          Dominica","    General government final consumption expenditure",109.9555555556,125.5814814815,151.9555555556
"          Dominican Republic","  Final consumption expenditure",61147.6191355033,64309.5575196864,67723.4507026849
"          Dominican Republic","    Household consumption expenditure (including NPISH)",53350.2948196794,55558.8564701279,58432.2576636087
"          Dominican Republic","    General government final consumption expenditure",7797.3243158239,8750.7010495585,9291.193039076201
"          Ecuador","  Final consumption expenditure",74486.28599999999,77675.205,80031.51
"          Ecuador","    Household consumption expenditure (including NPISH)",59889.692,62477.987,64202.3
"          Ecuador","    General government final consumption expenditure",14596.594,15197.218,15829.21
"          Egypt","  Final consumption expenditure",255431.1846490547,189112.5354635932,234261.9443474951
"          Egypt","    Household consumption expenditure (including NPISH)",224549.6262425617,169419.0536712859,213403.3895987608
"          Egypt","    General government final consumption expenditure",30881.558406493,19693.4817923073,20858.5547487342
"          El Salvador","  Final consumption expenditure",24175.56,24871.31,25939.71
"          El Salvador","    Household consumption expenditure (including NPISH)",20228.38,20841.39,21780.99
"          El Salvador","    General government final consumption expenditure",3947.18,4029.92,4158.72
"          Equatorial Guinea","  Final consumption expenditure",8214.380485548199,8622.4262501963,9391.3192195928
"          Equatorial Guinea","    Household consumption expenditure (including NPISH)",5367.3841744846,5731.4273921076,6341.664343972801
"          Equatorial Guinea","    General government final consumption expenditure",2846.9963110636,2890.9988580887,3049.65487562
"          Eritrea","  Final consumption expenditure",2014.7683551792,1617.1811406965,1861.3728889552
"          Eritrea","    Household consumption expenditure (including NPISH)",1605.0759545928,1180.5830098839,1403.5039408955
"          Eritrea","    General government final consumption expenditure",409.6924005863,436.5981308126,457.8689480597
"          Estonia","  Final consumption expenditure",17349.3059230562,18899.2791433341,21398.0489732635
"          Estonia","    Household consumption expenditure (including NPISH)",12457.3577417651,13559.5349191471,15372.9820359663
"          Estonia","    General government final consumption expenditure",4891.9481812911,5339.7442241871,6025.0669372973
"          Eswatini","  Final consumption expenditure",3354.297823034,4018.3218269456,4206.1795137147
"          Eswatini","    Household consumption expenditure (including NPISH)",2419.1949092286,2911.1340390265,3132.2352918924
"          Eswatini","    General government final consumption expenditure",935.1029138054,1107.1877879192,1073.9442218222
"          Ethiopia","  Final consumption expenditure",55995.2511488304,59623.3877438696,60891.4507776925
"          Ethiopia","    Household consumption expenditure (including NPISH)",47960.9026760968,51092.125326774,52669.5024222028
"          Ethiopia","    General government final consumption expenditure",8034.3484727336,8531.262417095601,8221.9483554897
"          Ethiopia (...1991)","  Final consumption expenditure","_","_","_"
"          Ethiopia (...1991)","    Household consumption expenditure (including NPISH)","_","_","_"
"          Ethiopia (...1991)","    General government final consumption expenditure","_","_","_"
"          Fiji","  Final consumption expenditure",3971.7226225413,4247.5711929972,4476.2817232016
"          Fiji","    Household consumption expenditure (including NPISH)",3132.8844928379,3267.6378625916,3282.1084865738
"          Fiji","    General government final consumption expenditure",932.9812514253,981.9170011149,1103.2491604355
"          Finland","  Final consumption expenditure",187680.760132273,194168.4709305886,209215.539047843
"          Finland","    Household consumption expenditure (including NPISH)",130726.1148888557,135901.7752105885,146160.8349058822
"          Finland","    General government final consumption expenditure",56954.6452434172,58266.6957200001,63054.7041419607
"          France","  Final consumption expenditure",1932541.010970465,2019566.494300405,2156922.55803274
"          France","    Household consumption expenditure (including NPISH)",1344510.98411935,1404448.255291098,1506208.062765901
"          France","    General government final consumption expenditure",588030.0268511141,615118.2390093075,650714.4952668393
"          French Polynesia","  Final consumption expenditure",5274.9698111313,5510.94823044,5889.6846287205
"          French Polynesia","    Household consumption expenditure (including NPISH)",3562.299097092,3727.0076047928,3981.8826004211
"          French Polynesia","    General government final consumption expenditure",1712.6707140393,1783.9406256472,1907.8020282994
"          Gabon","  Final consumption expenditure",7724.5302502123,7942.5581520812,8500.369259020301
"          Gabon","    Household consumption expenditure (including NPISH)",5671.2253724471,5967.2086864733,6445.6257590055
"          Gabon","    General government final consumption expenditure",2053.3048777653,1975.3494656079,2054.7435000148
"          Gambia","  Final consumption expenditure",1282.8173068491,1413.0057805933,1556.2358176377
"          Gambia","    Household consumption expenditure (including NPISH)",1158.8839127998,1294.6132230953,1419.760052234
"          Gambia","    General government final consumption expenditure",123.9333940265,118.392557498,136.4757654037
"          Georgia","  Final consumption expenditure",12881.6131903791,13594.2647070348,14522.3734336797
"          Georgia","    Household consumption expenditure (including NPISH)",10563.7044037647,11344.1477294991,12197.8624361668
"          Georgia","    General government final consumption expenditure",2317.9087861919,2250.1169775357,2324.5109975129
"          Germany","  Final consumption expenditure",2519334.624931811,2657255.267874122,2864687.411657253
"          Germany","    Household consumption expenditure (including NPISH)",1829260.776347627,1925033.208764709,2073039.279828234
"          Germany","    General government final consumption expenditure",690073.8485841845,732222.0591094131,791648.1318290191
"          Germany, Federal Republic of","  Final consumption expenditure","_","_","_"
"          Germany, Federal Republic of","    Household consumption expenditure (including NPISH)","_","_","_"
"          Germany, Federal Republic of","    General government final consumption expenditure","_","_","_"
"          Ghana","  Final consumption expenditure",45809.7258806077,46616.8275167644,53102.04557053
"          Ghana","    Household consumption expenditure (including NPISH)",40334.984559824,41423.1807532432,47194.5159341446
"          Ghana","    General government final consumption expenditure",5474.7413207837,5193.646763751,5907.5296363854
"          Greece","  Final consumption expenditure",170812.6556432654,178304.1638642497,188444.175394752
"          Greece","    Household consumption expenditure (including NPISH)",131525.4698891845,137458.0273883379,146945.8578829113
"          Greece","    General government final consumption expenditure",39287.1857540808,40846.1364759118,41498.3175118408
"          Greenland","  Final consumption expenditure",2155.1228743691,2253.7695144558,2446.3809331798
"          Greenland","    Household consumption expenditure (including NPISH)",1008.8182155707,1036.5967640769,1099.6906123078
"          Greenland","    General government final consumption expenditure",1146.3046587984,1217.1727503789,1346.6903208719
"          Grenada","  Final consumption expenditure",856.078732963,887.9240692593,910.2159092593
"          Grenada","    Household consumption expenditure (including NPISH)",724.7013462963,756.5466825926,770.984577037
"          Grenada","    General government final consumption expenditure",131.3773866667,131.3773866667,139.2313318519
"          Guatemala","  Final consumption expenditure",62753.7646443016,68384.5983829138,70805.90011423591
"          Guatemala","    Household consumption expenditure (including NPISH)",55857.5564346394,60822.3050419412,62756.520854849
"          Guatemala","    General government final consumption expenditure",6896.2082096623,7562.2933409727,8049.3792595199
"          Guinea","  Final consumption expenditure",8640.5369202365,9257.1615433263,10524.7578483661
"          Guinea","    Household consumption expenditure (including NPISH)",7187.904933551,7679.9629921835,8750.075482603201
"          Guinea","    General government final consumption expenditure",1452.6319866854,1577.1985511427,1774.6823657629
"          Guinea-Bissau","  Final consumption expenditure",1180.9788029085,1327.4556784333,1403.3918255378
"          Guinea-Bissau","    Household consumption expenditure (including NPISH)",1023.9115071083,1134.9006041534,1201.2948868721
"          Guinea-Bissau","    General government final consumption expenditure",157.0672958003,192.5550742799,202.0969386675
"          Guyana","  Final consumption expenditure",3614.7172124019,4016.5303407215,4083.922339334
"          Guyana","    Household consumption expenditure (including NPISH)",2832.2919330944,3200.4585521404,3178.000951283
"          Guyana","    General government final consumption expenditure",782.4252793075,816.0717885811,905.921388051
"          Haiti","  Final consumption expenditure",7705.0966192612,9260.277298898,10437.9052198975
"          Haiti","    Household consumption expenditure (including NPISH)",7545.6355076827,9067.637780760801,10221.1062443183
"          Haiti","    General government final consumption expenditure",159.4611115785,192.6395181372,216.7989755792
"          Honduras","  Final consumption expenditure",19765.2834030225,20896.4638258877,22376.6924617914
"          Honduras","    Household consumption expenditure (including NPISH)",16700.0745731778,17773.4281958967,19110.2452577558
"          Honduras","    General government final consumption expenditure",3065.2088298447,3123.035629991,3266.4472040356
"          Hungary","  Final consumption expenditure",90134.5536782032,100603.303777481,110656.077026035
"          Hungary","    Household consumption expenditure (including NPISH)",64462.6105592196,71769.53236973171,79134.1627242839
"          Hungary","    General government final consumption expenditure",25671.9431189837,28833.7714077493,31521.9143017511
"          Iceland","  Final consumption expenditure",14953.7971322446,18081.2697260418,19310.9869653282
"          Iceland","    Household consumption expenditure (including NPISH)",10230.2147004406,12331.4890275614,13128.730880127
"          Iceland","    General government final consumption expenditure",4723.5824318039,5749.7806984804,6182.2560852012
"          India","  Final consumption expenditure",1594339.066917459,1831785.727554617,1953022.049307182
"          India","    Household consumption expenditure (including NPISH)",1358212.329772838,1549526.402688175,1645375.639068542
"          India","    General government final consumption expenditure",236126.7371446212,282259.3248664427,307646.4102386396
"          Indonesia","  Final consumption expenditure",627662.3726493294,674331.6851519806,687763.019475664
"          Indonesia","    Household consumption expenditure (including NPISH)",538874.8671300319,581701.4549556767,593879.5577156388
"          Indonesia","    General government final consumption expenditure",88787.50551929729,92630.23019630399,93883.4617600253
"          Indonesia (...2002)","  Final consumption expenditure","_","_","_"
"          Indonesia (...2002)","    Household consumption expenditure (including NPISH)","_","_","_"
"          Indonesia (...2002)","    General government final consumption expenditure","_","_","_"
"          Iran (Islamic Republic of)","  Final consumption expenditure",266759.4424716552,281443.2187752147,254877.1583413144
"          Iran (Islamic Republic of)","    Household consumption expenditure (including NPISH)",210085.8095112425,219536.9874350665,201017.7766060872
"          Iran (Islamic Republic of)","    General government final consumption expenditure",56673.6329604127,61906.2313401482,53859.381735228
"          Iraq","  Final consumption expenditure",132296.5834247191,137919.513170886,146701.3894056605
"          Iraq","    Household consumption expenditure (including NPISH)",99954.6720233012,104731.7965007103,107631.1733543707
"          Iraq","    General government final consumption expenditure",32341.9114014179,33187.7166701757,39070.2160512898
"          Ireland","  Final consumption expenditure",138891.0177469284,147678.5941555826,162798.2212401787
"          Ireland","    Household consumption expenditure (including NPISH)",100744.0033956303,106244.8156065696,116460.1348515317
"          Ireland","    General government final consumption expenditure",38147.0143512981,41433.778549013,46338.086388647
"          Israel","  Final consumption expenditure",246194.8893652844,273183.1545734322,288200.8450016659
"          Israel","    Household consumption expenditure (including NPISH)",174681.1420102935,193074.4483610955,202887.4143110104
"          Israel","    General government final consumption expenditure",71513.74735499091,80108.70621233679,85313.4306906555
"          Italy","  Final consumption expenditure",1484708.457118386,1551440.413746356,1654212.818162666
"          Italy","    Household consumption expenditure (including NPISH)",1127808.608844219,1182032.40967812,1259191.801314822
"          Italy","    General government final consumption expenditure",356899.8482741667,369408.0040682359,395021.0168478428
"          Jamaica","  Final consumption expenditure",12886.202862196,13576.463786462,14085.1447486178
"          Jamaica","    Household consumption expenditure (including NPISH)",10937.9400897589,11594.6101282733,11971.2486606598
"          Jamaica","    General government final consumption expenditure",1948.2627724372,1981.8536581888,2113.8960879581
"          Japan","  Final consumption expenditure",3720971.67945456,3653053.372861609,3738012.276617335
"          Japan","    Household consumption expenditure (including NPISH)",2741359.039713172,2698158.259533054,2756920.257292401
"          Japan","    General government final consumption expenditure",979612.6397413877,954895.113328556,981092.0193249349
"          Jordan","  Final consumption expenditure",38796.2063492958,40219.7183098592,40446.4788732394
"          Jordan","    Household consumption expenditure (including NPISH)",31914.5162084507,32966.1971830986,33108.4507042254
"          Jordan","    General government final consumption expenditure",6881.6901408451,7253.5211267606,7338.0281690141
"          Kazakhstan","  Final consumption expenditure",90844.1626724339,105242.2489750973,108287.6774641181
"          Kazakhstan","    Household consumption expenditure (including NPISH)",74877.5225040916,87667.6881590931,93364.43798697931
"          Kazakhstan","    General government final consumption expenditure",15966.6401683423,17574.5608160041,14923.2394771387
"          Kenya","  Final consumption expenditure",63493.8329082796,74652.2612107428,83802.70385145411
"          Kenya","    Household consumption expenditure (including NPISH)",54541.5209148379,64462.3569723827,72307.6757090726
"          Kenya","    General government final consumption expenditure",8952.311993441701,10189.9042383601,11495.0281423814
"          Kiribati","  Final consumption expenditure",263.3186699771,268.7490947614,264.8943622759
"          Kiribati","    Household consumption expenditure (including NPISH)",190.1737898658,194.095746575,191.3117851451
"          Kiribati","    General government final consumption expenditure",73.1448801113,74.6533474199,73.5825771308
